Component, LCOM2, LCOM3, LCOM5, TCC, CBO, LCOM4, LOC, LCbC_MM, LCbC_XScan, MWE, CC
org.mozilla.javascript.Arguments,16,74,77,60,5,3,219,273,4,0.02760442577319838,8
org.mozilla.javascript.BaseFunction,340,90,82,0,6,5,382,302,11,0.10720969273080087,19
org.mozilla.javascript.Callable,,,,0,0,1,1,27,0,4.9E-324,0
org.mozilla.javascript.ClassCache,31,83,89,7,2,5,71,289,0,0.01879543178467646,6
org.mozilla.javascript.ClassShutter,,,,0,0,1,1,23,0,4.9E-324,0
org.mozilla.javascript.CompilerEnvirons,89,82,90,15,1,1,102,297,0,0.4042118914011848,9
org.mozilla.javascript.Context,6173,98,96,6,18,31,1120,309,0,0.20333796741114288,38
org.mozilla.javascript.ContextAction,,,,0,0,1,1,20,0,4.9E-324,1
org.mozilla.javascript.ContextFactory,199,87,84,6,3,11,183,299,0,0.01839734768201611,18
org.mozilla.javascript.ContextListener,,,,0,0,2,2,22,0,0.01893939393939394,0
org.mozilla.javascript.DToA,79,90,85,,0,1,1082,223,0,0.012296364168319857,2
org.mozilla.javascript.Decompiler,149,90,85,0,2,1,743,307,0,0.024476705415457187,7
org.mozilla.javascript.DefaultErrorReporter,0,60,33,100,1,1,45,288,3,0.2555334350690589,2
org.mozilla.javascript.DefiningClassLoader,4,40,,0,0,3,28,29,2,0.02697916041866805,3
org.mozilla.javascript.Delegator,0,9,0,100,1,2,94,44,5,0.02203840033946884,3
org.mozilla.javascript.EcmaError,35,80,50,7,1,7,44,67,1,0.15018783847917927,2
org.mozilla.javascript.ErrorReporter,,,,0,0,3,3,27,0,0.03702310620360242,0
org.mozilla.javascript.EvaluatorException,21,100,,0,1,7,31,31,0,0.04748985102084346,1
org.mozilla.javascript.Function,,,,0,0,2,2,35,0,0.020491803278688523,0
org.mozilla.javascript.FunctionNode,8,86,100,0,0,4,16,292,0,0.020838031921034873,0
org.mozilla.javascript.FunctionObject,54,83,88,22,7,4,353,296,2,0.014962763917370354,8
org.mozilla.javascript.GeneratedClassLoader,,,,0,0,2,2,22,0,0.05701754385964912,2
org.mozilla.javascript.IRFactory,1516,94,83,0,7,25,1164,311,0,0.020923076557959816,28
org.mozilla.javascript.IdFunctionCall,,,,0,0,1,1,26,0,4.9E-324,0
org.mozilla.javascript.IdFunctionObject,64,80,88,12,3,2,119,301,3,0.01868913303030459,1
org.mozilla.javascript.IdScriptableObject,314,56,0,85,5,10,325,301,6,0.011724886552853225,9
org.mozilla.javascript.ImporterTopLevel,155,88,80,10,9,3,202,295,4,0.016287709862447517,4
org.mozilla.javascript.InterfaceAdapter,4,50,,0,6,2,95,35,0,0.0193994066838534,1
org.mozilla.javascript.InterpretedFunction,0,79,50,60,5,2,122,298,1,0.014220897893612241,7
org.mozilla.javascript.Interpreter,1813,95,93,50,23,4,4017,319,0,0.011168914696104874,49
org.mozilla.javascript.InterpreterData,87,95,97,5,0,8,71,303,0,0.00953644550491976,2
org.mozilla.javascript.JavaMembers,74,75,66,,11,2,612,64,0,0.011358691989473025,21
org.mozilla.javascript.JavaScriptException,9,75,0,17,1,3,29,36,1,0.05781623329740692,6
org.mozilla.javascript.Kit,105,93,,0,1,16,343,299,0,0.013924234560033754,7
org.mozilla.javascript.LazilyLoadedCtor,0,44,75,100,1,1,65,292,0,0.016162531336703458,10
org.mozilla.javascript.MemberBox,91,80,64,0,1,1,236,290,0,0.014024020189237707,7
org.mozilla.javascript.NativeArray,1026,93,88,35,10,3,1128,307,9,0.21351133643432088,46
org.mozilla.javascript.NativeBoolean,9,68,64,0,2,2,88,295,4,0.01620390517058154,5
org.mozilla.javascript.NativeCall,15,84,66,0,5,3,79,292,5,0.01363114594127468,4
org.mozilla.javascript.NativeDate,872,94,92,0,4,2,1415,311,6,0.011827630440757724,11
org.mozilla.javascript.NativeError,39,80,53,0,4,3,141,302,5,0.03362295312873228,12
org.mozilla.javascript.NativeFunction,,,,0,3,7,48,294,1,0.021403460743567585,8
org.mozilla.javascript.NativeGlobal,128,89,73,17,4,3,652,313,2,0.036272189134091026,13
org.mozilla.javascript.NativeJavaArray,37,76,68,24,5,4,87,36,3,0.017934069832264213,6
org.mozilla.javascript.NativeJavaClass,118,94,0,0,8,5,183,40,4,0.019432685823110415,11
org.mozilla.javascript.NativeJavaConstructor,0,50,0,100,1,1,18,38,1,0.017605633802816902,1
org.mozilla.javascript.NativeJavaMethod,31,81,83,33,4,2,386,70,2,0.016330497594693433,10
org.mozilla.javascript.NativeJavaObject,390,91,89,15,8,8,1803,80,4,0.015572925662582426,16
org.mozilla.javascript.NativeJavaPackage,79,83,25,0,4,6,101,38,2,0.020308864929730844,6
org.mozilla.javascript.NativeJavaTopPackage,13,79,34,17,5,2,94,39,3,0.014715055092620038,5
org.mozilla.javascript.NativeMath,15,65,48,0,4,3,299,294,4,0.059404381315630486,2
org.mozilla.javascript.NativeNumber,24,74,70,0,3,3,160,300,5,0.03328250072231131,6
org.mozilla.javascript.NativeObject,9,59,43,0,7,4,157,298,5,0.06868624741665616,18
org.mozilla.javascript.NativeScript,60,82,68,0,4,5,127,294,7,0.018818573007807333,3
org.mozilla.javascript.NativeString,242,88,83,30,6,7,682,302,7,0.07573158333844512,16
org.mozilla.javascript.NativeWith,59,80,75,58,3,3,120,296,5,0.01797752842346367,4
org.mozilla.javascript.Node,845,95,93,12,6,5,492,302,0,0.04489596549542779,29
org.mozilla.javascript.NodeTransformer,26,75,0,0,4,2,280,293,0,0.02019826202003404,17
org.mozilla.javascript.ObjArray,8,73,65,70,0,2,298,291,0,0.014071066513777136,0
org.mozilla.javascript.ObjToIntMap,0,70,61,36,1,3,295,290,0,0.012965620777721565,0
org.mozilla.javascript.Parser,155,87,87,50,9,1,1827,322,0,0.015116922953760529,52
org.mozilla.javascript.Ref,,,,0,0,4,10,34,0,0.021551724137931036,0
org.mozilla.javascript.RefCallable,,,,0,0,1,1,23,0,4.9E-324,0
org.mozilla.javascript.RegExpProxy,10,100,,0,0,5,5,37,0,0.025092775621801816,2
org.mozilla.javascript.RhinoException,102,88,86,14,0,3,116,68,0,0.3420967917173467,13
org.mozilla.javascript.Script,,,,0,0,1,1,22,0,4.9E-324,1
org.mozilla.javascript.ScriptOrFnNode,302,90,92,11,3,9,122,295,0,0.012847465034771983,0
org.mozilla.javascript.ScriptRuntime,14471,99,94,0,20,45,2881,344,0,0.12637058418681393,82
org.mozilla.javascript.Scriptable,120,100,,0,0,16,16,41,0,0.0194893150293775,2
org.mozilla.javascript.ScriptableObject,2315,94,86,0,8,22,1125,311,4,0.015975852368656538,59
org.mozilla.javascript.SecurityController,22,63,0,5,2,3,53,292,0,0.016891891891891893,3
org.mozilla.javascript.SpecialRef,0,38,29,100,2,1,92,67,0,0.018713456307822604,2
org.mozilla.javascript.Synchronizer,,,,0,1,2,10,27,1,0.020833333333333332,3
org.mozilla.javascript.Token,,5,,0,0,1,158,114,0,4.9E-324,11
org.mozilla.javascript.TokenStream,284,89,88,,3,2,1231,307,0,0.01104455490078729,17
org.mozilla.javascript.UintMap,0,67,60,51,1,2,328,45,0,0.014629754194246959,1
org.mozilla.javascript.Undefined,1,75,,0,0,2,7,290,0,0.019230769230769232,0
org.mozilla.javascript.UniqueTag,0,50,43,100,0,1,34,289,0,0.014783979060276585,1
org.mozilla.javascript.VMBridge,28,100,,,0,8,41,290,0,0.01953125,5
org.mozilla.javascript.WrapFactory,8,60,0,10,1,1,60,57,0,0.017992203869667257,3
org.mozilla.javascript.WrappedException,1,67,,0,1,1,24,29,0,0.02307196732134073,0
org.mozilla.javascript.Wrapper,,,,0,0,1,1,23,0,4.9E-324,0
org.mozilla.javascript.continuations.Continuation,31,80,75,7,2,6,67,292,7,0.018191761844375307,0
org.mozilla.javascript.debug.DebugFrame,,,,0,0,4,4,31,0,0.022102676884950993,1
org.mozilla.javascript.debug.DebuggableObject,,,,0,0,1,1,17,0,4.9E-324,0
org.mozilla.javascript.debug.DebuggableScript,,,,0,0,12,12,32,0,0.026837043406810163,1
org.mozilla.javascript.debug.Debugger,,,,0,0,2,2,23,0,0.020833333333333332,0
org.mozilla.javascript.jdk13.VMBridge_jdk13,21,86,,,1,7,93,290,0,0.016503027461946894,4
org.mozilla.javascript.regexp.NativeRegExp,1257,96,93,20,16,3,2216,325,7,0.03505562643196406,17
org.mozilla.javascript.regexp.NativeRegExpCtor,29,78,66,0,4,4,179,294,4,0.028794972960728027,3
org.mozilla.javascript.regexp.RegExpImpl,23,75,71,0,8,4,435,294,0,0.023427209634772326,8
org.mozilla.javascript.regexp.SubString,0,44,,0,0,2,23,48,0,0.02085691867182923,4
org.mozilla.javascript.serialize.ScriptableInputStream,0,33,100,,1,1,41,26,0,0.016895234418575027,2
org.mozilla.javascript.serialize.ScriptableOutputStream,0,44,37,60,1,1,82,31,0,0.0197795753087666,7
org.mozilla.javascript.xml.XMLLib,34,78,0,0,1,7,38,31,0,0.021321770999100337,5
org.mozilla.javascript.xml.XMLObject,,,,0,0,12,20,33,0,0.022378819519075388,4
